MLS Number,Street Address,zip_code,county,County_Index,List Price,Sale Price,Age,Sq Ft Total,Lot Size,Days On Market,Listing Date,Sale Date,Year Built,Listing Year,Sale Year
BE40956867,32361 Utica St ,94544,Alameda,5,575000,715000,70,1071,5000,7,7/2/2021 0:00,7/9/2021 0:00,1951,2021,2021
CC40955960,509 Lassen Way ,94561,Contra Costa,4,575000,635000,16,1686,4500,4,6/26/2021 0:00,6/30/2021 0:00,2005,2021,2021
CNSR21125505,10633 Candytuft ST ,93004,Ventura,12,855000,905000,17,2463,6159,9,6/14/2021 0:00,6/23/2021 0:00,2004,2021,2021
CROC21154884,28393 ALAVA ,92692,Orange,1,650000,650000,36,1495,3485,0,7/15/2021 0:00,7/15/2021 0:00,1985,2021,2021
CRPW21130495,553 Brookline PL ,92835,Orange,1,799000,875000,39,1633,5430,38,5/15/2021 0:00,6/22/2021 0:00,1982,2021,2021
CRSN21132669,1595 Borman WAY ,95926,Butte,9,425000,444000,43,1523,6534,6,6/22/2021 0:00,6/28/2021 0:00,1978,2021,2021
CRTR21135464,11821 Pipeline AVE ,91710,San Bernardino,8,535000,530000,70,1072,20850,0,6/22/2021 0:00,6/22/2021 0:00,1951,2021,2021
CRV1-6566,5102 Mesquite ST ,93012,Ventura,12,799999,798580,44,1715,7840,26,6/18/2021 0:00,7/14/2021 0:00,1977,2021,2021
CRV1-7146,1921 Mcloughlin Ave ,93035,Ventura,12,450000,380000,59,1049,6511,29,6/16/2021 0:00,7/15/2021 0:00,1962,2021,2021
ME221045793,5512 Monalee AVE ,95819,Sacramento,2,675000,750000,71,1452,6460,2,6/9/2021 0:00,6/11/2021 0:00,1950,2021,2021
ME221056179,538 Betten ST ,93635,Merced,27,330000,336000,2,1492,3136,9,6/14/2021 0:00,6/23/2021 0:00,2019,2021,2021
ME221065174,1288 Laurel Park CIR ,95337,San Joaquin,15,549000,595000,18,1491,5310,4,6/9/2021 0:00,6/13/2021 0:00,2003,2021,2021
ME221066031,1424 Tres Picos DR ,95993,Sutter,23,429000,460000,19,1784,7405,4,6/10/2021 0:00,6/14/2021 0:00,2002,2021,2021
ME221068096,2320 Mountain Quail WAY ,95355,Stanislaus,16,469000,513000,34,1928,5001,3,6/14/2021 0:00,6/17/2021 0:00,1987,2021,2021
ME221073063,5321 Glenleigh CT ,95843,Sacramento,2,499000,565000,29,1620,7423,6,6/22/2021 0:00,6/28/2021 0:00,1992,2021,2021
ML81849411,18569 Eucalyptus DR ,95030,Santa Clara,6,2999000,3400000,68,2751,48966,6,6/17/2021 0:00,6/23/2021 0:00,1953,2021,2021
ML81854397,217 El Camino RD ,95066,Santa Cruz,26,1050000,1050000,60,1325,12807,0,7/20/2021 0:00,7/20/2021 0:00,1961,2021,2021
TM21-731952,11410 CHARNOCK RD ,90066,Los Angeles,0,2150000,2150000,69,1905,5771,16,5/12/2021 0:00,5/28/2021 0:00,1952,2021,2021
BA321054128,725 Valle Vista AVE ,94590,Solano,14,746000,757000,81,1883,6098,29,6/16/2021 0:00,7/15/2021 0:00,1940,2021,2021
BA321066057,4412 Georgia ST ,94591,Solano,14,540000,540000,66,1175,6098,0,6/10/2021 0:00,6/10/2021 0:00,1955,2021,2021
CNSR21127330,17430 Horace ST ,91344,Los Angeles,0,924000,1050000,94,2000,16719,2,6/11/2021 0:00,6/13/2021 0:00,1927,2021,2021
CRIG21127772,29040 Del Monte DR ,92586,Riverside,3,278800,278800,57,992,6098,11,6/10/2021 0:00,6/21/2021 0:00,1964,2021,2021
CRNS21112162,820 Jackson DR ,93446,San Luis Obispo,20,695000,735000,33,2060,21780,7,6/9/2021 0:00,6/16/2021 0:00,1988,2021,2021
CROC21131229,14 Las Cruces ,92688,Orange,1,885000,925000,24,1975,2800,7,6/15/2021 0:00,6/22/2021 0:00,1997,2021,2021
CROR21128621,50 La Cresenta DR ,95965,Butte,9,290000,295000,70,1586,10019,2,6/14/2021 0:00,6/16/2021 0:00,1951,2021,2021
EB40954765,354 Napa Ave ,94572,Contra Costa,4,489000,545000,80,884,3720,12,6/17/2021 0:00,6/29/2021 0:00,1941,2021,2021
ME201902297,6230 Co Rd 7 ,95963,Glenn,38,800000,710000,41,1718,3269178,3,6/28/2019 0:00,7/1/2019 0:00,1980,2019,2019
ME202001135,2590 Oro Garden Ranch RD ,95966,Butte,9,285000,288000,56,1956,90605,9,4/8/2020 0:00,4/17/2020 0:00,1965,2020,2020
ME221067867,8263 Boulder Field DR ,95829,Sacramento,2,534950,565000,25,2140,6251,5,6/19/2021 0:00,6/24/2021 0:00,1996,2021,2021
ME221068730,7208 Sayles Canyon RD ,95735,El Dorado,18,99000,108000,87,488,13068,3,6/15/2021 0:00,6/18/2021 0:00,1934,2021,2021
ME221068967,1366 Quail ST ,93635,Merced,27,260000,275000,38,1233,6534,1,6/15/2021 0:00,6/16/2021 0:00,1983,2021,2021
ML81848208,1759 Kircher CT ,94024,Santa Clara,6,4498000,5350000,17,3189,25860,7,6/24/2021 0:00,7/1/2021 0:00,2004,2021,2021
ML81848993,757 Douglas AVE ,94063,San Mateo,11,979998,1350000,74,1708,5000,9,6/15/2021 0:00,6/24/2021 0:00,1947,2021,2021
CC40953659,1004 Rolling Woods Way ,94521,Contra Costa,4,1150000,1205000,23,2475,10250,7,6/10/2021 0:00,6/17/2021 0:00,1998,2021,2021
CRIV21137836,2161 Falcon Crest DR ,92506,Riverside,3,425000,440000,37,1655,8276,11,6/14/2021 0:00,6/25/2021 0:00,1984,2021,2021
CRJT21125572,3624 N Geronimo ,92284,San Bernardino,8,380000,400000,62,1120,217800,6,6/10/2021 0:00,6/16/2021 0:00,1959,2021,2021
CRNDP2107042,23054 Giant Fir PL ,92587,Riverside,3,575000,575000,23,1755,7405,9,6/16/2021 0:00,6/25/2021 0:00,1998,2021,2021
CRNDP2107287,2017 Maxson ST ,92054,San Diego,7,735000,735000,2,2191,15300,0,6/23/2021 0:00,6/23/2021 0:00,2019,2021,2021
CROC21128968,3390 Temescal AVE ,92860,Riverside,3,535000,545000,65,787,7405,6,6/16/2021 0:00,6/22/2021 0:00,1956,2021,2021
CRPW21127464,9141 Regatta DR ,92646,Orange,1,1249000,1210000,57,1656,6000,4,6/13/2021 0:00,6/17/2021 0:00,1964,2021,2021
