Status,Street Address (Full),Zip Code,List Price,Sale Price,Age,Sq Ft Total,Lot Size,DOM,MLS Number ,Listing Date,Sale Date,Close Date,Original List Price,Year Built,Check price Sale/List Percent
16,2113410.812,-113411.8123,1999999,-5.4%,,,,,,,,,,,
17,1826507.105,172992.895,1999500,9.5%,,,,,,,,,,,
18,2067788.34,-167788.3401,1900000,-8.1%,,,,,,,,,,,
19,1813552.559,86447.44069,1900000,4.8%,,,,,,,,,,,
20,2138536.12,-263536.1201,1875000,-12.3%,,,,,,,,,,,
21,1890345.757,-30345.7566,1860000,-1.6%,,,,,,,,,,,
22,1684950.765,158049.2346,1843000,9.4%,,,,,,,,,,,
23,1699716.732,120283.268,1820000,7.1%,,,,,,,,,,,
24,1886139.017,-69139.0167,1817000,-3.7%,,,,,,,,,,,
25,1569829.337,220170.6626,1790000,14.0%,,,,,,,,,,,
26,1492998.034,268001.9657,1761000,18.0%,,,,,,,,,,,
27,1278256.274,481743.726,1760000,37.7%,,,,,,,,,,,
28,1401060.553,358939.4466,1760000,25.6%,,,,,,,,,,,
29,1702365.842,47634.15825,1750000,2.8%,,,,,,,,,,,
30,1643351.477,106648.5234,1750000,6.5%,,,,,,,,,,,
31,1667216.48,82783.52026,1750000,5.0%,,,,,,,,,,,
32,1632541.941,67458.05892,1700000,4.1%,,,,,,,,,,,
33,1799422.642,-99422.6423,1700000,-5.5%,,,,,,,,,,,
34,1987371.297,-287371.2974,1700000,-14.5%,,,,,,,,,,,
35,1509481.485,145518.515,1655000,9.6%,,,,,,,,,,,
36,1644837.005,5162.994891,1650000,0.3%,,,,,,,,,,,
37,1661650.27,-26650.27022,1635000,-1.6%,,,,,,,,,,,
38,1798718.903,-218718.9035,1580000,-12.2%,,,,,,,,,,,
39,1621829.614,-46829.61394,1575000,-2.9%,,,,,,,,,,,
40,1598561.932,-83561.93233,1515000,-5.2%,,,,,,,,,,,
41,1482742.224,17257.77639,1500000,1.2%,,,,,,,,,,,
42,1439501.897,48498.10283,1488000,3.4%,,,,,,,,,,,
43,1915586.892,-440586.8916,1475000,-23.0%,,,,,,,,,,,
44,1486486.545,-11486.54471,1475000,-0.8%,,,,,,,,,,,
45,1374289.717,80710.2831,1455000,5.9%,,,,,,,,,,,
46,1794391.748,-342891.7479,1451500,-19.1%,,,,,,,,,,,
47,1371105.479,78894.52144,1450000,5.8%,,,,,,,,,,,
48,1515322.259,-80322.25888,1435000,-5.3%,,,,,,,,,,,
49,1571077.249,-141077.2486,1430000,-9.0%,,,,,,,,,,,
50,1599283.767,-179283.7671,1420000,-11.2%,,,,,,,,,,,
51,1471288.692,-51288.69239,1420000,-3.5%,,,,,,,,,,,
52,1417584.94,-2584.940423,1415000,-0.2%,,,,,,,,,,,
53,1329856.614,80143.38562,1410000,6.0%,,,,,,,,,,,
54,1405733.097,-5729.097439,1400004,-0.4%,,,,,,,,,,,
55,1341578.076,48421.924,1390000,3.6%,,,,,,,,,,,
56,1529113.948,-179113.9476,1350000,-11.7%,,,,,,,,,,,
57,1636700.117,-286700.1166,1350000,-17.5%,,,,,,,,,,,
58,1226335.914,93664.08563,1320000,7.6%,,,,,,,,,,,
59,1336649.916,-36649.91551,1300000,-2.7%,,,,,,,,,,,
