Status,Street Address (Full),List Price,Sale Price,Age,Sq Ft Total,Lot Size,Listing Date,Sale Date,Close Date,DOM,Zip Code,Original List Price,Year Built,Lot Size,MLS Number ,,
Sold,240 Willowbrook DR ,3860000,4000000,56,2440,43996,6/21/2021 0:00,7/1/2021 0:00,7/12/2021 0:00,10,94028,3860000,1965,43996,ML81849968,,
Sold,235 Bedford DR ,3499000,4000000,92,3505,7651,6/9/2021 0:00,6/21/2021 0:00,7/20/2021 0:00,12,90212,3499000,1929,7651,TM21-745826,,
Sold,905 Galloway ST ,3995000,3995000,0,3107,5197,6/28/2021 0:00,6/28/2021 0:00,6/29/2021 0:00,0,90272,3995000,2021,5197,TM20-661808,,
Sold,237 Evening Canyon RD ,3995000,3995000,71,1774,18403,6/19/2021 0:00,6/20/2021 0:00,6/21/2021 0:00,1,92625,3995000,1950,18403,CROC21134802,,
Sold,8146 Laurel View DR ,3995000,3995000,32,5070,5009,6/11/2021 0:00,6/14/2021 0:00,7/1/2021 0:00,3,90069,3995000,1989,5009,TM21-746282,,
Sold,4106 Thacher RD ,4000000,3957000,121,3915,194277.6,3/15/2019 0:00,9/17/2019 0:00,10/3/2019 0:00,186,93023,4000000,1900,194277.6,CRV0-219004891,,
Sold,751 3rd AVE ,3850000,3950000,105,3107,3840,7/7/2021 0:00,7/11/2021 0:00,7/20/2021 0:00,4,94118,3850000,1916,3840,SF421565519,,
Sold,1300 N Lemon AVE ,3595000,3950000,61,2175,10400,6/14/2021 0:00,6/18/2021 0:00,7/13/2021 0:00,4,94025,3595000,1960,10400,ML81848758,,
Sold,2019 Kent DR ,3298000,3910000,62,2740,11979,6/14/2021 0:00,6/24/2021 0:00,7/1/2021 0:00,10,94024,3298000,1959,11979,ML81848804,,
Sold,3471 Calle Margarita ,4000000,3900000,19,7623,131551,7/9/2021 0:00,7/9/2021 0:00,7/9/2021 0:00,0,92024,4000000,2002,131551,CRNDP2108008,,
Sold,641 Spargur DR ,2998000,3900000,72,1520,13499,7/6/2021 0:00,7/10/2021 0:00,7/20/2021 0:00,4,94022,2998000,1949,13499,ML81852036,,
Sold,6103 Mimulus ,3900000,3900000,12,4800,0.63,5/23/2021 0:00,5/23/2021 0:00,6/29/2021 0:00,0,92067,3900000,2009,0.63,CRNDP2107732,,
Sold,3124 Gough ST ,3900000,3900000,98,2463,2809,7/1/2021 0:00,7/1/2021 0:00,7/14/2021 0:00,0,94123,3900000,1923,2809,SF421566136,,
Sold,755 Raymundo AVE ,3865000,3865000,70,2735,17359,7/12/2021 0:00,7/14/2021 0:00,7/14/2021 0:00,2,94024,3865000,1951,17359,ML81853539,,
Sold,23 Heron DR ,3995000,3865000,23,4456,14375,6/10/2021 0:00,7/1/2021 0:00,7/9/2021 0:00,21,94941,3995000,1998,14375,BA321051420,,
Sold,3431 Lambeth ST ,3850000,3850000,86,3341,7200,6/14/2021 0:00,7/9/2021 0:00,7/19/2021 0:00,25,90027,3850000,1935,7200,TM21-748710,,
Sold,587 26th ST ,3699000,3850000,21,3473,4993,3/25/2021 0:00,6/15/2021 0:00,7/16/2021 0:00,82,90266,3699000,2000,4993,CRSB21063366,,
Sold,829 Waverley ST ,3998000,3840000,99,2240,5724,7/7/2021 0:00,7/7/2021 0:00,7/21/2021 0:00,0,94301,4498000,1922,5724,ML81852306,,
Sold,790 Bowhill RD ,4000000,3790000,60,3426,21780,6/21/2021 0:00,6/21/2021 0:00,6/21/2021 0:00,0,94010,4000000,1961,21780,ML81850055,,
Sold,13051 Woodbridge ST ,3699000,3775000,2,4596,9174,6/14/2021 0:00,5/28/2021 0:00,6/28/2021 0:00,-17,91604,3699000,2019,9174,TM21-735322,,
Sold,579 Beresford AVE ,3988000,3750000,13,3700,9113,6/9/2021 0:00,6/17/2021 0:00,6/28/2021 0:00,8,94061,3988000,2008,9113,ML81848063,,
Sold,275 Laning ,3250000,3723000,66,2460,43124,6/17/2021 0:00,6/21/2021 0:00,7/19/2021 0:00,4,94062,3250000,1955,43124,ML81849367,,
Sold,20194 Glasgow DR ,2998888,3700000,58,2576,13099,7/6/2021 0:00,7/6/2021 0:00,7/6/2021 0:00,0,95070,2998888,1963,13099,ML81852170,,
Sold,265 Henry ST ,2795000,3700000,114,2706,3458,6/25/2021 0:00,7/1/2021 0:00,7/8/2021 0:00,6,94114,2795000,1907,3458,SF421567636,,
Sold,560 Ortega ST ,3290000,3700000,47,3300,4045,6/10/2021 0:00,7/1/2021 0:00,7/2/2021 0:00,21,94122,3290000,1974,4045,SF421561626,,
Sold,2730 Santa Lucia AVE ,3695000,3695000,19,2443,6000,6/17/2021 0:00,6/24/2021 0:00,7/6/2021 0:00,7,93923,3695000,2002,6000,ML81849415,,
Sold,35 Plymouth AVE ,3395000,3650000,75,2154,5937,6/18/2021 0:00,6/21/2021 0:00,7/12/2021 0:00,3,94941,3395000,1946,5937,BA321055047,,
Sold,310 W Avenida Valencia ,3600000,3650000,22,3592,7740,6/16/2021 0:00,6/16/2021 0:00,6/22/2021 0:00,0,92672,3600000,1999,7740,CROC21131307,,
Sold,1075 Highlands CIR ,2998000,3620000,60,1987,10458,6/10/2021 0:00,6/17/2021 0:00,7/16/2021 0:00,7,94024,2998000,1961,10458,ML81848253,,
