MLS Number,county,County_Index,Year_Sale,List Price,Sale Price,DOM,Sale Date
CRBB21126182,Los Angeles,0,2021,999900,1003000,7,6/18/2021 0:00
CROC21134704,Orange,1,2021,1100000,1328000,8,6/29/2021 0:00
CROC21137558,Orange,1,2021,1450000,1451000,4,7/5/2021 0:00
CRPW21124378,Orange,1,2021,850000,850000,0,6/9/2021 0:00
CRV0-219010175,Ventura,12,2019,450000,425000,438,10/1/2019 0:00
ML81850481,San Mateo,11,2021,2395000,2000000,8,7/1/2021 0:00
ML81848981,Santa Clara,6,2021,1149000,1250000,4,6/19/2021 0:00
BE40954031,Alameda,5,2021,1265000,1320000,12,6/23/2021 0:00
BA321050697,Alameda,5,2021,499999,545000,5,6/14/2021 0:00
EB40954773,Alameda,5,2021,695000,926000,12,6/29/2021 0:00
BA321058919,Marin,17,2021,1550000,1550000,20,6/21/2021 0:00
BA321056631,Marin,17,2021,3177000,3100000,13,5/17/2021 0:00
ME221065295,San Joaquin,15,2021,419999,425000,6,6/15/2021 0:00
BA321055551,Sonoma,13,2021,549000,575000,14,7/9/2021 0:00
ME221071456,Sacramento,2,2021,299900,335000,7,6/25/2021 0:00
ME221072513,Sacramento,2,2021,499000,550000,7,6/30/2021 0:00
CRSN21132669,Butte,9,2021,425000,444000,6,6/28/2021 0:00
CRSN21125016,Tehama,32,2021,405000,405000,12,6/19/2021 0:00
CNSR21131130,Los Angeles,0,2021,625000,700000,6,6/22/2021 0:00
CRPTP2103772,San Diego,7,2021,1210000,1210000,15,6/12/2021 0:00
CROC21111682,Riverside,3,2021,390000,488000,27,6/18/2021 0:00
CRCV21111930,Riverside,3,2021,550000,550000,24,6/18/2021 0:00
CROC21146841,Orange,1,2021,1440000,1440000,0,7/7/2021 0:00
CROC21137279,Orange,1,2021,1295000,1400000,3,6/30/2021 0:00
CRPW21128927,Orange,1,2021,769900,802000,7,6/21/2021 0:00
ML81849072,Monterey,22,2021,2300000,2200000,6,6/21/2021 0:00
ML81849587,Monterey,22,2021,1195000,1200000,2,6/20/2021 0:00
SF421561549,San Mateo,11,2021,1150000,1390000,8,6/17/2021 0:00
EB40953741,Contra Costa,4,2021,599000,680000,5,6/15/2021 0:00
CC40955316,Contra Costa,4,2021,1495000,1950000,7,6/29/2021 0:00
BA321066057,Solano,14,2021,540000,540000,0,6/10/2021 0:00
