zip_code,county,County_Index,Year_Sale,List Price,Sale Price,Age,Sq Ft Total,Lot Size,DOM,Sale Date
92223,Riverside,3,2021,529000,579000,16,3389,6970,4,6/21/2021 0:00
92352,San Bernardino,8,2021,864000,1069000,19,2442,10534,5,6/26/2021 0:00
92503,Riverside,3,2021,610000,610000,20,2000,7405,35,6/23/2021 0:00
92563,Riverside,3,2021,589900,695000,19,2570,8712,20,6/15/2021 0:00
93001,Ventura,12,2019,499900,518275,95,912,4666,34,12/24/2019 0:00
93726,Fresno,31,2021,268000,293000,64,1433,6510,18,7/13/2021 0:00
94086,Santa Clara,6,2021,1688000,1910000,67,1288,5817,5,6/16/2021 0:00
94546,Alameda,5,2021,1098888,1175000,69,1638,5100,7,6/18/2021 0:00
94551,Alameda,5,2021,789950,836000,68,1060,5000,5,6/22/2021 0:00
94561,Contra Costa,4,2021,725000,767500,5,2432,6300,7,6/25/2021 0:00
94568,Alameda,5,2021,1330000,1500000,45,1855,6533,4,6/26/2021 0:00
94602,Alameda,5,2021,798000,1010000,95,1935,5520,14,6/23/2021 0:00
95242,San Joaquin,15,2021,392000,392000,60,1424,6159,9,6/19/2021 0:00
95326,Stanislaus,16,2021,439000,458000,19,1720,6499,4,6/15/2021 0:00
95765,Placer,10,2021,569000,565000,30,2171,4042,12,6/23/2021 0:00
95928,Butte,9,2019,309000,275000,116,1440,6970,108,12/23/2019 0:00
95961,Yuba,21,2021,279900,285000,64,872,9409,7,5/12/2021 0:00
95965,Butte,9,2019,215000,231000,57,1384,13504,8,7/24/2019 0:00
90041,Los Angeles,0,2021,890000,890000,0,1711,1207,0,6/11/2021 0:00
90041,Los Angeles,0,2021,915000,915000,0,1711,1207,0,6/11/2021 0:00
90660,Los Angeles,0,2021,630000,690000,70,1685,5835,13,6/15/2021 0:00
91605,Los Angeles,0,2021,755000,755000,65,1036,7958,11,6/28/2021 0:00
92026,San Diego,7,2021,925000,950000,24,3309,6848,20,6/21/2021 0:00
92078,San Diego,7,2021,975000,1100000,18,2099,4503,14,6/29/2021 0:00
92508,Riverside,3,2021,330000,320000,31,930,3485,0,6/14/2021 0:00
92629,Orange,1,2021,2540000,2540000,44,1963,4417,0,5/27/2021 0:00
92648,Orange,1,2021,1549000,1600000,28,2969,5936,40,6/16/2021 0:00
93004,Ventura,12,2020,674900,680000,57,1577,7140,24,8/17/2020 0:00
94010,San Mateo,11,2021,5598000,6000000,54,3710,23337,6,6/23/2021 0:00
94303,Santa Clara,6,2021,849950,968000,69,1010,6000,7,6/25/2021 0:00
94580,Alameda,5,2021,758000,820000,77,1000,5000,9,6/30/2021 0:00
94583,Contra Costa,4,2021,1050000,1170000,50,1479,7875,0,6/11/2021 0:00
94611,Alameda,5,2021,1187400,1670989,72,2179,6624,13,6/22/2021 0:00
94901,Marin,17,2021,1299000,1325000,62,2009,12036,0,5/18/2021 0:00
94960,Marin,17,2021,2895000,2800000,60,3292,14501,11,6/21/2021 0:00
95341,Merced,27,2021,189900,188000,80,1300,40628,9,6/23/2021 0:00
95361,Stanislaus,16,2021,380000,410101,51,1188,8067,4,6/29/2021 0:00
95377,San Joaquin,15,2021,849900,850000,20,2968,9265,3,6/22/2021 0:00
95624,Sacramento,2,2021,574900,600000,27,2079,5349,5,6/14/2021 0:00
95670,Sacramento,2,2021,469000,491000,59,1648,11761,7,6/21/2021 0:00
95687,Solano,14,2021,519900,535000,29,1147,5811,7,6/23/2021 0:00
95747,Placer,10,2021,529000,540000,23,1547,6499,23,7/3/2021 0:00
95821,Sacramento,2,2021,499000,510000,61,1500,11326,4,6/15/2021 0:00
95843,Sacramento,2,2021,450000,475000,27,1440,5458,5,6/14/2021 0:00
90034,Los Angeles,0,2021,1920000,2030000,72,1897,5972,6,6/16/2021 0:00
91351,Los Angeles,0,2021,675000,720000,36,2349,146375,10,6/19/2021 0:00
92010,San Diego,7,2021,850000,1000001,54,1640,10400,29,6/15/2021 0:00
92253,Riverside,3,2021,859895,840000,21,2400,2614,6,6/15/2021 0:00
92315,San Bernardino,8,2021,545000,545000,22,1154,7749,3,6/28/2021 0:00
92352,San Bernardino,8,2021,550000,550000,34,1854,13667,3,6/25/2021 0:00
92782,Orange,1,2021,1165000,1165000,23,2035,6541,83,5/26/2021 0:00
92805,Orange,1,2021,879000,1050000,62,2379,11110,13,6/21/2021 0:00
92861,Orange,1,2021,1400000,1450000,57,2608,24699,39,5/10/2021 0:00
93535,Los Angeles,0,2021,259999,255000,68,914,6177,5,6/21/2021 0:00
93619,Fresno,31,2021,600000,600000,13,2607,8400,20,6/30/2021 0:00
94024,Santa Clara,6,2021,2998000,3620000,60,1987,10458,7,6/17/2021 0:00
94030,San Mateo,11,2021,2288000,2820000,81,3196,8050,11,6/21/2021 0:00
94526,Contra Costa,4,2021,1959000,2400000,15,3470,17471,7,6/24/2021 0:00
95350,Stanislaus,16,2021,469500,482500,60,2200,9400,4,6/15/2021 0:00
95623,El Dorado,18,2021,450000,485000,35,1228,7405,7,6/16/2021 0:00
95687,Solano,14,2021,625000,680000,33,2286,5658,5,6/22/2021 0:00
95762,El Dorado,18,2021,865000,880000,17,2832,6970,6,6/15/2021 0:00
95966,Butte,9,2020,400000,362400,16,1600,629878,36,3/11/2020 0:00
90670,Los Angeles,0,2021,649900,665000,71,1778,5309,17,6/15/2021 0:00
91011,Los Angeles,0,2020,1288000,1460000,80,1711,31884,14,9/18/2020 0:00
92081,San Diego,7,2021,820000,820000,33,1913,9757,4,6/11/2021 0:00
92373,San Bernardino,8,2021,460000,490000,66,1325,8505,19,6/29/2021 0:00
92407,San Bernardino,8,2021,399900,335000,74,1250,8400,9,6/25/2021 0:00
92673,Orange,1,2021,1135000,1135000,21,3111,9303,0,7/1/2021 0:00
93021,Ventura,12,2021,839999,890000,34,2643,7008,13,6/24/2021 0:00
93907,Monterey,22,2021,600000,600000,37,1102,6000,0,6/29/2021 0:00
94110,San Francisco,19,2021,2849000,3500000,152,2802,4896,6,6/25/2021 0:00
94306,Santa Clara,6,2021,2888000,2980000,72,1614,7722,8,6/25/2021 0:00
94531,Contra Costa,4,2021,569000,580000,29,1579,4500,11,7/5/2021 0:00
94549,Contra Costa,4,2021,1480000,1860000,70,1839,18400,6,6/17/2021 0:00
94552,Alameda,5,2021,1200000,1300000,35,1890,8710,5,6/19/2021 0:00
94553,Contra Costa,4,2021,1200000,1200000,68,2281,14400,0,7/2/2021 0:00
94558,Napa,25,2021,999999,1005000,42,2142,20125,1,6/20/2021 0:00
95132,Santa Clara,6,2021,1375000,1400000,58,2029,10303,0,7/2/2021 0:00
95628,Sacramento,2,2021,460000,467465,63,1268,14375,4,6/25/2021 0:00
95695,Yolo,24,2021,469900,470000,122,1416,8999,5,6/14/2021 0:00
95747,Placer,10,2021,499000,514500,15,1688,3158,10,6/21/2021 0:00
95962,Yuba,21,2020,225000,200000,43,2016,676051,18,4/19/2020 0:00
90041,Los Angeles,0,2021,841291,841291,0,1816,4135,0,6/11/2021 0:00
91343,Los Angeles,0,2021,587400,587400,65,1421,7477,31,6/22/2021 0:00
91711,Los Angeles,0,2021,601000,615000,66,1512,7947,10,6/24/2021 0:00
91711,Los Angeles,0,2021,660000,660000,69,1344,8291,0,6/22/2021 0:00
92071,San Diego,7,2021,689000,765000,42,1832,6952,42,6/16/2021 0:00
92223,Riverside,3,2021,480000,500000,8,2318,5227,11,6/12/2021 0:00
92399,San Bernardino,8,2021,439000,465000,6,1904,3084,2,6/13/2021 0:00
92399,San Bernardino,8,2021,548500,548500,3,2226,9075,2,6/11/2021 0:00
92603,Orange,1,2021,2285000,2285000,50,2706,12084,0,7/1/2021 0:00
92661,Orange,1,2021,3699000,4000000,40,2867,3239,6,6/29/2021 0:00
93906,Monterey,22,2021,415000,455000,61,1240,5900,5,7/6/2021 0:00
94015,San Mateo,11,2021,998000,900000,62,1180,3996,2,6/10/2021 0:00
94530,Contra Costa,4,2021,837000,1101000,66,1228,3400,11,6/22/2021 0:00
94560,Alameda,5,2021,1350000,1455000,5,1929,3517,28,4/5/2021 0:00
94563,Contra Costa,4,2021,1750000,1750000,66,2325,37400,0,6/23/2021 0:00
94920,Marin,17,2021,4575000,4725000,28,5028,27717,0,5/24/2021 0:00
95361,Stanislaus,16,2021,715000,720000,29,2500,20342,5,6/14/2021 0:00
95610,Sacramento,2,2021,450000,465000,48,1274,6534,4,6/15/2021 0:00
95621,Sacramento,2,2021,389000,430000,45,1632,6970,6,6/23/2021 0:00
95993,Sutter,23,2021,399900,420000,31,1860,10454,40,3/30/2021 0:00
90660,Los Angeles,0,2021,569900,630000,70,1024,5650,9,6/16/2021 0:00
91214,Los Angeles,0,2019,1198000,1185000,63,1781,8932,29,4/29/2019 0:00
91301,Los Angeles,0,2021,1378000,1505000,34,2868,8125,6,6/14/2021 0:00
91354,Los Angeles,0,2021,739000,750000,46,1625,6781,2,6/19/2021 0:00
91607,Los Angeles,0,2021,1049950,1175000,67,1863,6982,14,6/22/2021 0:00
91790,Los Angeles,0,2021,669000,730000,65,1628,7634,14,6/21/2021 0:00
92027,San Diego,7,2021,625000,675000,25,1659,5954,4,6/21/2021 0:00
92069,San Diego,7,2021,749900,825000,20,1652,4792,0,6/21/2021 0:00
92503,Riverside,3,2021,635000,685000,33,2323,9583,6,6/20/2021 0:00
92583,Riverside,3,2021,365000,384000,23,1257,8276,10,6/24/2021 0:00
92648,Orange,1,2021,2995000,3005000,23,3816,5100,9,6/20/2021 0:00
93036,Ventura,12,2020,509000,515000,55,2202,6715,24,2/28/2020 0:00
93612,Fresno,31,2021,390000,385000,31,1762,6760,18,6/29/2021 0:00
94061,San Mateo,11,2021,1200000,1400000,98,967,4649,0,6/24/2021 0:00
94509,Contra Costa,4,2021,575000,601000,39,1628,8398,4,6/28/2021 0:00
94519,Contra Costa,4,2021,749000,815000,56,1285,6000,6,6/29/2021 0:00
94578,Alameda,5,2021,649000,790000,74,1164,5250,6,6/21/2021 0:00
94611,Alameda,5,2021,1049000,1285000,56,1786,7473,11,6/29/2021 0:00
95624,Sacramento,2,2021,569000,650000,33,1527,10315,4,6/15/2021 0:00
95648,Placer,10,2021,648000,663000,14,2827,11008,4,6/16/2021 0:00
95678,Placer,10,2021,485000,490000,28,1648,4399,3,6/15/2021 0:00
95762,El Dorado,18,2021,799900,840000,23,2190,9148,4,6/16/2021 0:00
95762,El Dorado,18,2021,549995,615000,52,2322,10890,7,6/24/2021 0:00
95841,Sacramento,2,2021,397000,425000,42,1444,6599,3,6/13/2021 0:00
95965,Butte,9,2020,110500,105000,114,848,5663,96,2/12/2020 0:00
90012,Los Angeles,0,2021,1450000,1450000,0,2375,2092,0,5/26/2021 0:00
90049,Los Angeles,0,2021,4995000,5200000,0,3700,7500,0,7/13/2021 0:00
